code,topic,Qnode1,label1,page1,Qnode2,label2,page2
AG,Agriculture,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
BG,Balance of payments: gross,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
BM,"Balance of payments: imports, payments (credit)",Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
BN,Balance of payments: net,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
BX,"Balance of payments: exports, receipts (debit)",Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
CM,Capital markets,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
DC,Debt: aid flows from DAC,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
DT,Debt: external,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
EA,Environment: agriculture,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
EE,Environment: emissions,Q22969167,Wikidata property related to climate,https://www.wikidata.org/wiki/Q22969167,,,
EG,Environment: energy,Q22969167,Wikidata property related to climate,https://www.wikidata.org/wiki/Q22969167,,,
EN,Environment: general,Q22969167,Wikidata property related to climate,https://www.wikidata.org/wiki/Q22969167,,,
EP,Environment: prices,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
ER,Environment: resources,Q22988651,Wikidata property related to geology,https://www.wikidata.org/wiki/Q22988651,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178
FA,Financial: monetary authorities,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
FB,Financial: bank (miscellaneous),Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q51326087,Wikidata property related to banking,https://www.wikidata.org/wiki/Q51326087
FD,Financial: deposit money banks,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q51326087,Wikidata property related to banking,https://www.wikidata.org/wiki/Q51326087
FI,Financial: international liquidity,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475
FM,Financial: monetary survey,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
FO,Financial: other banking institutions,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
FP,Financial: prices,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
FR,Financial: interest rates,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
FS,Financial: banking survey,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
GB,Government finance: other sources,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
GC,Government finance: IMF,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
GF,Public financial management,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
IC,Investment climate,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
IE,Infrastructure: expenditure,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
IP,Intellectual property,Q22984026,Wikidata property related to law and justice,https://www.wikidata.org/wiki/Q22984026,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475
IQ,Index quality assessment,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
IS,Infrastructure: transportation,Q22984363,Wikidata property related to transport,https://www.wikidata.org/wiki/Q22984363,,,
